plant_label,device_name,device_id,timestamp_utc,unix_time,soil_moisture_pct,temperature_c,humidity_pct,light_level_pct,risk_class,confidence,prob_healthy,prob_moderate_stress,prob_high_stress,action_water,action_reduce_temp,action_increase_humidity,action_increase_light,recommendation_summary
"Aglaonema","ESP32_COM5",2,"2026-05-19 00:25:07",1779143107,51.350,21.600,53.300,21.514,0,0.999995,0.999995,0.000005,0.000000,0,0,0,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999995 actions:[light ]"
"Aglaonema","ESP32_COM5",2,"2026-05-19 02:25:07",1779150307,52.850,21.500,52.300,0.000,0,1.000000,1.000000,0.000000,0.000000,0,0,0,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[light ]"
"Aglaonema","ESP32_COM5",2,"2026-05-19 04:25:07",1779157507,51.950,21.500,52.000,0.000,0,1.000000,1.000000,0.000000,0.000000,0,0,0,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[light ]"
"Aglaonema","ESP32_COM5",2,"2026-05-19 06:25:07",1779164707,52.000,21.700,51.400,34.261,0,1.000000,1.000000,0.000000,0.000000,0,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[]"
"Aglaonema","ESP32_COM5",2,"2026-05-19 08:25:07",1779171907,50.450,21.900,54.700,49.695,0,1.000000,1.000000,0.000000,0.000000,0,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[]"
"Aglaonema","ESP32_COM5",2,"2026-05-19 10:25:06",1779179106,49.200,22.100,55.400,56.142,0,1.000000,1.000000,0.000000,0.000000,0,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[]"
"Aglaonema","ESP32_COM5",2,"2026-05-19 12:25:06",1779186306,49.550,22.200,54.400,60.928,0,1.000000,1.000000,0.000000,0.000000,0,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[]"
"Aglaonema","ESP32_COM5",2,"2026-05-19 14:25:06",1779193506,51.250,22.200,50.800,33.993,0,1.000000,1.000000,0.000000,0.000000,0,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[]"
"Aglaonema","ESP32_COM5",2,"2026-05-19 16:25:06",1779200706,49.450,22.400,54.800,28.059,0,0.999938,0.999938,0.000060,0.000001,0,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999938 actions:[]"
"Aglaonema","ESP32_COM5",2,"2026-05-19 18:25:06",1779207906,51.150,22.500,56.800,26.203,0,0.999999,0.999999,0.000001,0.000000,0,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999999 actions:[]"
"Aglaonema","ESP32_COM5",2,"2026-05-19 20:25:06",1779215106,50.050,22.500,57.100,18.706,0,0.999841,0.999841,0.000158,0.000001,0,0,0,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999841 actions:[light ]"
"Aglaonema","ESP32_COM5",2,"2026-05-19 22:25:05",1779222305,51.300,22.700,58.200,0.000,0,0.999994,0.999994,0.000006,0.000000,0,0,0,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999994 actions:[light ]"
