plant_label,device_name,device_id,timestamp_utc,unix_time,soil_moisture_pct,temperature_c,humidity_pct,light_level_pct,risk_class,confidence,prob_healthy,prob_moderate_stress,prob_high_stress,action_water,action_reduce_temp,action_increase_humidity,action_increase_light,recommendation_summary
"Aglaonema","ESP32_COM5",2,"2026-05-04 00:25:40",1777847140,38.400,23.100,61.100,0.000,0,0.999998,0.999998,0.000002,0.000000,1,0,0,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999998 actions:[water light ]"
"Aglaonema","ESP32_COM5",2,"2026-05-04 02:25:40",1777854340,38.500,22.800,60.800,0.000,0,0.999996,0.999996,0.000004,0.000000,1,0,0,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999996 actions:[water light ]"
"Aglaonema","ESP32_COM5",2,"2026-05-04 04:25:39",1777861539,37.900,22.700,61.100,0.000,0,0.999998,0.999998,0.000002,0.000000,1,0,0,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999998 actions:[water light ]"
"Aglaonema","ESP32_COM5",2,"2026-05-04 06:25:39",1777868739,36.950,22.500,61.400,6.911,0,0.999998,0.999998,0.000002,0.000000,1,0,0,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999998 actions:[water light ]"
"Aglaonema","ESP32_COM5",2,"2026-05-04 08:25:39",1777875939,38.300,22.400,62.100,51.722,0,1.000000,1.000000,0.000000,0.000000,1,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[water ]"
"Aglaonema","ESP32_COM5",2,"2026-05-04 10:25:39",1777883139,36.600,22.500,62.900,59.365,0,0.999994,0.999994,0.000006,0.000000,1,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999994 actions:[water ]"
"Aglaonema","ESP32_COM5",2,"2026-05-04 12:25:39",1777890339,37.950,22.700,65.200,67.375,0,1.000000,1.000000,0.000000,0.000000,1,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[water ]"
"Aglaonema","ESP32_COM5",2,"2026-05-04 14:25:39",1777897539,36.900,22.900,62.300,61.905,0,0.999983,0.999983,0.000016,0.000000,1,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999983 actions:[water ]"
"Aglaonema","ESP32_COM5",2,"2026-05-04 16:25:38",1777904738,36.750,23.500,60.700,66.471,0,0.999994,0.999994,0.000006,0.000000,1,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999994 actions:[water ]"
"Aglaonema","ESP32_COM5",2,"2026-05-04 18:25:38",1777911938,36.100,23.700,63.100,38.364,0,0.999972,0.999972,0.000027,0.000001,1,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999972 actions:[water ]"
"Aglaonema","ESP32_COM5",2,"2026-05-04 20:25:38",1777919138,38.150,23.600,59.700,25.421,0,0.999998,0.999998,0.000002,0.000000,1,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999998 actions:[water ]"
"Aglaonema","ESP32_COM5",2,"2026-05-04 22:25:38",1777926338,36.150,23.700,60.900,0.537,0,0.997597,0.997597,0.002403,0.000000,1,0,0,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.997597 actions:[water light ]"
