plant_label,device_name,device_id,timestamp_utc,unix_time,soil_moisture_pct,temperature_c,humidity_pct,light_level_pct,risk_class,confidence,prob_healthy,prob_moderate_stress,prob_high_stress,action_water,action_reduce_temp,action_increase_humidity,action_increase_light,recommendation_summary
"Aglaonema","ESP32_COM5",2,"2026-05-06 00:25:36",1778019936,36.050,20.800,55.000,0.781,0,0.999164,0.999164,0.000837,0.000000,1,0,0,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999164 actions:[water light ]"
"Aglaonema","ESP32_COM5",2,"2026-05-06 02:25:35",1778027135,35.100,20.900,54.700,0.830,0,0.999276,0.999276,0.000724,0.000000,1,0,0,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999276 actions:[water light ]"
"Aglaonema","ESP32_COM5",2,"2026-05-06 04:25:35",1778034335,36.000,21.000,55.600,0.952,0,0.999996,0.999996,0.000004,0.000000,1,0,0,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999996 actions:[water light ]"
"Aglaonema","ESP32_COM5",2,"2026-05-06 06:25:35",1778041535,36.000,21.000,55.700,2.808,0,0.999996,0.999996,0.000004,0.000000,1,0,0,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999996 actions:[water light ]"
"Aglaonema","ESP32_COM5",2,"2026-05-06 08:25:35",1778048735,35.450,21.000,55.300,40.611,0,0.999993,0.999993,0.000007,0.000000,1,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999993 actions:[water ]"
"Aglaonema","ESP32_COM5",2,"2026-05-06 10:25:34",1778055934,36.450,21.100,59.600,64.225,0,0.999998,0.999998,0.000002,0.000000,1,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999998 actions:[water ]"
"Aglaonema","ESP32_COM5",2,"2026-05-06 12:25:34",1778063134,34.700,21.000,49.900,68.425,0,0.999838,0.999838,0.000159,0.000002,1,0,1,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999838 actions:[water humidify ]"
"Aglaonema","ESP32_COM5",2,"2026-05-06 14:25:34",1778070334,36.950,21.400,54.700,64.689,0,1.000000,1.000000,0.000001,0.000000,1,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[water ]"
"Aglaonema","ESP32_COM5",2,"2026-05-06 16:25:34",1778077534,37.000,21.400,50.300,50.818,0,0.999925,0.999925,0.000075,0.000000,1,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999925 actions:[water ]"
"Aglaonema","ESP32_COM5",2,"2026-05-06 18:25:34",1778084734,37.350,21.500,52.300,48.059,0,0.999940,0.999940,0.000060,0.000000,1,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.99994 actions:[water ]"
"Aglaonema","ESP32_COM5",2,"2026-05-06 20:25:34",1778091934,34.350,21.600,51.300,7.277,0,0.998902,0.998902,0.001098,0.000000,1,0,0,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.998902 actions:[water light ]"
"Aglaonema","ESP32_COM5",2,"2026-05-06 22:25:33",1778099133,35.500,21.900,51.300,3.541,0,0.999989,0.999989,0.000011,0.000000,1,0,0,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999989 actions:[water light ]"
