plant_label,soil_now,moisture_mean,moisture_delta,moisture_slope,dry_duration,temp_now,humidity_now,light_now,hour_sin,hour_cos,dow_sin,dow_cos,soil_x_slope,minutes_until_water,risk
PeaceLily,42.98,42.98,0.0,0.0,0.0,24.0,61.9,7.89,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0.0,4232.933333333333,0
PeaceLily,43.02,43.0,0.04000000000000625,0.04000000000000625,0.0,23.6,58.6,0.0,0.0,1.0,0.9749279121818236,-0.22252093395631434,1.7208000000002692,4052.8333333333335,0
PeaceLily,42.05,42.68333333333334,-0.970000000000006,-0.46499999999999986,0.0,23.5,57.2,4.69,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434,-19.55324999999999,3872.8333333333335,0
PeaceLily,42.0,42.5125,-0.04999999999999716,-0.3266666666666656,0.0,23.5,58.2,17.19,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,-13.719999999999956,3692.8333333333335,0
PeaceLily,42.15,42.440000000000005,0.14999999999999858,-0.20749999999999957,0.0,23.6,61.1,71.33,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,-8.746124999999981,3512.85,0
PeaceLily,41.85,42.34166666666667,-0.29999999999999716,-0.2259999999999991,0.0,23.8,60.1,57.36,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,-9.458099999999963,3470.766666666667,0
PeaceLily,41.61,42.237142857142864,-0.240000000000002,-0.22833333333333292,0.0,23.8,60.8,40.32,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,-9.500949999999982,3443.6666666666665,0
PeaceLily,41.37,42.12875,-0.240000000000002,-0.22999999999999993,0.0,23.8,60.8,55.56,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,-9.515099999999997,3420.0666666666666,0
PeaceLily,41.51,42.059999999999995,0.14000000000000057,-0.18374999999999986,0.0,24.0,55.4,53.94,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,-7.627462499999994,3239.9166666666665,0
PeaceLily,41.37,41.991,-0.14000000000000057,-0.17888888888888882,0.0,23.7,57.5,29.72,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-7.40063333333333,3059.9166666666665,0
PeaceLily,40.73,41.876363636363635,-0.6400000000000006,-0.225,0.0,23.6,60.0,0.0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-9.16425,2879.9166666666665,0
PeaceLily,40.29,41.744166666666665,-0.4399999999999977,-0.24454545454545434,0.0,23.4,60.5,0.0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,-9.852736363636355,2699.9333333333334,0
PeaceLily,40.0,41.61000000000001,-0.28999999999999915,-0.24833333333333307,0.0,23.2,59.2,0.0,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,-9.933333333333323,2519.9333333333334,0
PeaceLily,39.9,41.487857142857145,-0.10000000000000142,-0.2369230769230768,0.0,23.1,59.2,6.57,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,-9.453230769230764,2339.9333333333334,0
PeaceLily,39.85,41.37866666666667,-0.04999999999999716,-0.22357142857142825,0.0,22.8,60.1,57.31,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-8.909321428571417,2159.9333333333334,0
PeaceLily,39.56,41.265,-0.28999999999999915,-0.22799999999999965,0.0,22.9,62.3,56.51,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,-9.019679999999987,1979.95,0
PeaceLily,39.76,41.1764705882353,0.19999999999999574,-0.20124999999999993,0.0,23.0,59.6,59.51,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,-8.001699999999996,1799.95,0
