        timestamp_iso,true,rule,mlp,mlp_confidence
2026-01-03 12:50:00,2,2,1,0.6383766328715144
2026-01-03 16:30:00,0,1,1,0.6477784688516803
2026-01-05 10:30:00,1,1,0,0.6828278948131998
2026-01-05 11:00:00,0,2,1,0.7833567094145574
2026-01-08 12:40:00,0,2,1,0.5461483481118304
2026-01-08 14:00:00,0,1,1,0.645192861940485
2026-01-14 13:20:00,0,1,1,0.506778691221169
2026-01-16 08:40:00,1,2,0,0.759644472016288
2026-01-17 11:00:00,1,1,0,0.5980283341491016
2026-01-17 11:20:00,0,1,1,0.7830897355486525
2026-01-19 15:10:00,0,2,1,0.6550891000544701
2026-01-20 12:10:00,0,2,1,0.6274026699754431
2026-01-21 14:30:00,1,1,0,0.8855572639755591
2026-01-28 12:10:00,0,2,1,0.9467065857169464
2026-02-03 11:30:00,1,1,0,0.7129963432712605
2026-02-08 13:30:00,1,1,0,0.5672014421083186
2026-02-09 13:50:00,1,2,0,0.5274867604328147
2026-02-09 14:10:00,0,2,1,0.5746911705700847
2026-02-09 14:40:00,0,2,1,0.7677660081364164
2026-02-10 08:10:00,0,1,1,0.513847870143703
2026-02-15 14:20:00,1,1,0,0.683914299850316
2026-02-18 14:50:00,1,1,0,0.8501635266876486
2026-02-18 17:10:00,1,2,0,0.5630036498146755
2026-02-22 14:30:00,1,1,0,0.8902362175660731
2026-02-23 16:40:00,1,2,0,0.8005198158052967
2026-02-24 08:00:00,1,1,0,0.5732172811472552
2026-02-24 09:00:00,1,1,0,0.5861144347281065
2026-02-24 13:10:00,2,2,1,0.5396925813867548
2026-02-26 12:50:00,1,1,0,0.9512813575002462
2026-02-26 13:20:00,1,1,0,0.5386209164381824
2026-02-26 13:30:00,0,2,1,0.6109576861880401
2026-02-26 14:40:00,1,1,0,0.7742274493641296
2026-02-26 15:10:00,0,2,1,0.7438192312804514
2026-02-27 18:50:00,1,2,0,0.615806671658793
2026-02-28 08:40:00,1,2,0,0.7483174252743374
2026-03-01 13:50:00,0,2,1,0.9170962710900884
2026-03-02 17:40:00,1,0,0,0.9582199258946982
2026-03-03 10:50:00,0,2,1,0.7845410800054515
2026-03-03 12:20:00,1,1,0,0.5261786586236316
2026-03-03 13:40:00,1,1,0,0.5918360805295952
2026-03-03 14:30:00,0,2,1,0.9571817704642783
2026-03-05 14:30:00,1,1,0,0.6437335567660134
2026-03-07 12:00:00,0,1,1,0.7435741787174124
2026-03-07 12:10:00,1,2,0,0.5589949419047197
2026-03-07 13:40:00,0,1,1,0.6783412119700425
2026-03-08 12:20:00,1,1,0,0.566098173306795
2026-03-08 12:30:00,0,2,1,0.8086705018345124
2026-03-09 19:10:00,1,0,0,0.9850276633968494
2026-03-15 08:10:00,0,0,1,0.5159346916772912
2026-03-15 08:20:00,0,1,1,0.5567432180020084
2026-03-15 08:50:00,0,1,1,0.7908399422133408
2026-03-15 09:00:00,0,1,1,0.9346962768458464
2026-03-15 09:30:00,0,1,1,0.8826332046474451
2026-03-15 09:40:00,0,2,1,0.9131551101470767
2026-03-15 09:50:00,1,2,2,0.6471882105446364
2026-03-15 10:30:00,0,1,1,0.7801866535354108
2026-03-15 10:40:00,0,2,1,0.7958315971833747
2026-03-15 13:20:00,1,1,0,0.7473895030014871
2026-03-15 13:30:00,1,1,0,0.5264970740686944
2026-03-18 12:00:00,0,1,1,0.7147647942163156
2026-03-18 13:30:00,1,1,0,0.8436715023676217
2026-03-19 09:00:00,1,2,0,0.9274820897761512
2026-03-19 17:20:00,1,1,0,0.5845402559713175
2026-03-20 17:00:00,1,2,0,0.7794221587045936
2026-03-21 12:00:00,1,1,0,0.9741027683560162
2026-03-21 12:10:00,0,1,1,0.6860390340970265
