plant_label,device_name,device_id,timestamp_utc,unix_time,soil_moisture_pct,temperature_c,humidity_pct,light_level_pct,risk_class,confidence,prob_healthy,prob_moderate_stress,prob_high_stress,action_water,action_reduce_temp,action_increase_humidity,action_increase_light,recommendation_summary
"Aglaonema","ESP32_COM5",2,"2026-04-22 01:49:12",1776815352,51.250,21.900,45.500,0.000,0,1.000000,1.000000,0.000000,0.000000,0,0,1,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[humidify light ]"
"Aglaonema","ESP32_COM5",2,"2026-04-22 03:49:12",1776822552,52.050,21.800,45.400,0.000,0,1.000000,1.000000,0.000000,0.000000,0,0,1,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[humidify light ]"
"Aglaonema","ESP32_COM5",2,"2026-04-22 05:49:11",1776829751,52.000,21.700,45.400,0.000,0,1.000000,1.000000,0.000000,0.000000,0,0,1,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[humidify light ]"
"Aglaonema","ESP32_COM5",2,"2026-04-22 07:49:11",1776836951,51.050,21.600,43.900,52.063,0,0.999998,0.999998,0.000002,0.000000,0,0,1,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999998 actions:[humidify ]"
"Aglaonema","ESP32_COM5",2,"2026-04-22 09:49:11",1776844151,51.750,21.700,44.800,53.138,0,0.999999,0.999999,0.000001,0.000000,0,0,1,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999999 actions:[humidify ]"
"Aglaonema","ESP32_COM5",2,"2026-04-22 11:49:11",1776851351,51.700,22.200,44.100,54.335,0,0.999983,0.999983,0.000016,0.000001,0,0,1,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999983 actions:[humidify ]"
"Aglaonema","ESP32_COM5",2,"2026-04-22 13:49:10",1776858550,51.650,22.400,41.900,60.269,0,0.999990,0.999990,0.000010,0.000000,0,0,1,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.99999 actions:[humidify ]"
"Aglaonema","ESP32_COM5",2,"2026-04-22 15:49:10",1776865750,49.250,22.600,40.200,67.253,0,0.999823,0.999823,0.000177,0.000000,0,0,1,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999823 actions:[humidify ]"
"Aglaonema","ESP32_COM5",2,"2026-04-22 17:49:10",1776872950,50.350,22.800,39.200,73.846,0,0.999999,0.999999,0.000001,0.000000,0,0,1,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999999 actions:[humidify ]"
"Aglaonema","ESP32_COM5",2,"2026-04-22 19:49:10",1776880150,50.550,22.800,38.200,66.252,0,1.000000,1.000000,0.000000,0.000000,0,0,1,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[humidify ]"
"Aglaonema","ESP32_COM5",2,"2026-04-22 21:49:10",1776887350,100.000,22.900,41.300,0.000,0,1.000000,1.000000,0.000000,0.000000,0,0,1,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[humidify light ]"
"Aglaonema","ESP32_COM5",2,"2026-04-22 22:39:47",1776890387,0.000,22.800,43.200,0.000,0,0.999687,0.999687,0.000313,0.000000,1,0,1,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999687 actions:[water humidify light ]"
