plant_label,device_name,device_id,timestamp_utc,unix_time,soil_moisture_pct,temperature_c,humidity_pct,light_level_pct,risk_class,confidence,prob_healthy,prob_moderate_stress,prob_high_stress,action_water,action_reduce_temp,action_increase_humidity,action_increase_light,recommendation_summary
"Aglaonema","ESP32_COM5",2,"2026-04-30 00:25:49",1777501549,41.000,21.800,38.900,0.000,0,0.999999,0.999999,0.000001,0.000000,0,0,1,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999999 actions:[humidify light ]"
"Aglaonema","ESP32_COM5",2,"2026-04-30 02:25:48",1777508748,42.950,21.500,38.600,0.000,0,1.000000,1.000000,0.000000,0.000000,0,0,1,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[humidify light ]"
"Aglaonema","ESP32_COM5",2,"2026-04-30 04:25:48",1777515948,42.400,21.200,39.300,0.000,0,1.000000,1.000000,0.000000,0.000000,0,0,1,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[humidify light ]"
"Aglaonema","ESP32_COM5",2,"2026-04-30 06:25:48",1777523148,42.700,20.800,39.400,21.929,0,1.000000,1.000000,0.000000,0.000000,0,0,1,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[humidify light ]"
"Aglaonema","ESP32_COM5",2,"2026-04-30 08:25:48",1777530348,40.950,20.600,38.900,48.034,0,1.000000,1.000000,0.000000,0.000000,0,0,1,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[humidify ]"
"Aglaonema","ESP32_COM5",2,"2026-04-30 10:25:47",1777537547,39.450,20.500,40.000,48.840,0,0.999999,0.999999,0.000001,0.000000,1,0,1,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999999 actions:[water humidify ]"
"Aglaonema","ESP32_COM5",2,"2026-04-30 12:25:47",1777544747,41.800,20.800,36.100,55.409,0,1.000000,1.000000,0.000000,0.000000,0,0,1,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[humidify ]"
"Aglaonema","ESP32_COM5",2,"2026-04-30 14:25:47",1777551947,38.300,21.400,33.900,61.490,0,0.999957,0.999957,0.000043,0.000000,1,0,1,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999957 actions:[water humidify ]"
"Aglaonema","ESP32_COM5",2,"2026-04-30 16:25:47",1777559147,40.050,21.900,34.800,69.231,0,1.000000,1.000000,0.000000,0.000000,0,0,1,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[humidify ]"
"Aglaonema","ESP32_COM5",2,"2026-04-30 18:25:47",1777566347,38.400,22.200,35.800,75.873,0,0.999988,0.999988,0.000012,0.000000,1,0,1,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999988 actions:[water humidify ]"
"Aglaonema","ESP32_COM5",2,"2026-04-30 20:25:47",1777573547,38.950,22.400,37.400,51.575,0,0.999998,0.999998,0.000002,0.000000,1,0,1,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999998 actions:[water humidify ]"
"Aglaonema","ESP32_COM5",2,"2026-04-30 22:25:46",1777580746,40.150,22.500,38.800,0.000,0,1.000000,1.000000,0.000000,0.000000,0,0,1,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[humidify light ]"
